t,market_price,fair_value,bid,ask,fill,cash,inventory,unrealized_pnl,total_pnl
27,0.7217333590106044,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1652000770318134,-0.10607586790760415
28,0.7289555723473558,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.1868667170420673,-0.12774250791785802
29,0.7367624459619078,0.7176470588235294,0.6976470588235294,0.7376470588235294,,2.0591242091242092,-3,-2.210287337885723,-0.15116312876151383
30,0.74454074372397,0.7176470588235294,0.6976470588235294,0.7376470588235294,sell,2.796771267947739,-4,-2.97816297489588,-0.18139170694814144
31,0.7861466585551807,0.7333333333333333,0.7133333333333333,0.7533333333333333,sell,3.550104601281072,-5,-3.9307332927759036,-0.38062869149483136
32,0.7747110252997294,0.7473684210526316,0.7273684210526316,0.7673684210526316,sell,4.3174730223337034,-6,-4.648266151798376,-0.33079312946467265
33,0.7617306194533121,0.76,0.74,0.78,,4.3174730223337034,-6,-4.570383716719872,-0.252910694386169
34,0.743368633915689,0.76,0.74,0.78,,4.3174730223337034,-6,-4.460211803494134,-0.14273878116043015
35,0.7545197906714144,0.76,0.74,0.78,,4.3174730223337034,-6,-4.527118744028487,-0.20964572169478313
36,0.7753732469922615,0.76,0.74,0.78,,4.3174730223337034,-6,-4.652239481953569,-0.33476645961986584
37,0.7703256354895509,0.76,0.74,0.78,,4.3174730223337034,-6,-4.6219538129373055,-0.304480790603602
38,0.7510062241758229,0.76,0.74,0.78,,4.3174730223337034,-6,-4.506037345054937,-0.18856432272123325
39,0.7329662886532069,0.76,0.74,0.78,buy,3.5774730223337032,-5,-3.6648314432660345,-0.08735842093233126
40,0.7453298299770406,0.7238095238095238,0.7038095238095238,0.7438095238095238,sell,4.321282546143227,-6,-4.471978979862243,-0.1506964337190162
41,0.7589284219022574,0.7363636363636363,0.7163636363636363,0.7563636363636363,sell,5.077646182506863,-7,-5.312498953315802,-0.2348527708089394
42,0.7678450861732484,0.7478260869565218,0.7278260869565217,0.7678260869565218,sell,5.845472269463384,-8,-6.142760689385987,-0.29728841992260335
43,0.7521426377188121,0.7583333333333333,0.7383333333333333,0.7783333333333333,,5.845472269463384,-8,-6.0171411017504965,-0.1716688322871125
44,0.7551787322942058,0.7583333333333333,0.7383333333333333,0.7783333333333333,,5.845472269463384,-8,-6.041429858353647,-0.1959575888902627
45,0.7557535118623101,0.7583333333333333,0.7383333333333333,0.7783333333333333,,5.845472269463384,-8,-6.046028094898481,-0.20055582543509676
46,0.7583396082037749,0.7583333333333333,0.7383333333333333,0.7783333333333333,,5.845472269463384,-8,-6.066716865630199,-0.22124459616681502
47,0.77385120335255,0.7583333333333333,0.7383333333333333,0.7783333333333333,,5.845472269463384,-8,-6.1908096268204,-0.34533735735701576
48,0.7756305541604162,0.7583333333333333,0.7383333333333333,0.7783333333333333,,5.845472269463384,-8,-6.205044433283329,-0.35957216381994517
49,0.7864272977138332,0.7583333333333333,0.7383333333333333,0.7783333333333333,sell,6.623805602796717,-9,-7.077845679424499,-0.45404007662778145
50,0.7844575142179194,0.768,0.748,0.788,,6.623805602796717,-9,-7.060117627961275,-0.4363120251645576
51,0.7870170264808232,0.768,0.748,0.788,,6.623805602796717,-9,-7.083153238327409,-0.45934763553069136
52,0.7962919396735528,0.768,0.748,0.788,sell,7.411805602796718,-10,-7.962919396735528,-0.5511137939388107
53,0.7633342262927618,0.7769230769230769,0.7569230769230769,0.796923076923077,,7.411805602796718,-10,-7.633342262927618,-0.22153666013090056
54,0.7547740906509777,0.7769230769230769,0.7569230769230769,0.796923076923077,buy,6.65488252587364,-9,-6.792966815858799,-0.13808428998515865
55,0.7436279330325729,0.7481481481481481,0.7281481481481481,0.7681481481481481,,6.65488252587364,-9,-6.692651397293156,-0.037768871419515904
56,0.7296689794160774,0.7481481481481481,0.7281481481481481,0.7681481481481481,,6.65488252587364,-9,-6.567020814744697,0.08786171112894348
57,0.7236826854207399,0.7481481481481481,0.7281481481481481,0.7681481481481481,buy,5.926734377725492,-8,-5.789461483365919,0.13727289435957335
58,0.7533973773743908,0.7214285714285714,0.7014285714285714,0.7414285714285714,sell,6.6681629491540635,-9,-6.780576396369518,-0.1124134472154541
59,0.7344108861918064,0.7310344827586207,0.7110344827586207,0.7510344827586207,,6.6681629491540635,-9,-6.609697975726258,0.058464973427805766
60,0.7530559089740457,0.7310344827586207,0.7110344827586207,0.7510344827586207,sell,7.419197431912684,-10,-7.530559089740457,-0.11136165782777319
61,0.7177457180930273,0.74,0.72,0.76,buy,6.699197431912684,-9,-6.459711462837246,0.23948596907543784
62,0.7111607315886604,0.7161290322580645,0.6961290322580644,0.7361290322580645,,6.699197431912684,-9,-6.400446584297944,0.29875084761474024
63,0.7148577563113275,0.7161290322580645,0.6961290322580644,0.7361290322580645,,6.699197431912684,-9,-6.433719806801948,0.26547762511073625
64,0.7268393151229467,0.7161290322580645,0.6961290322580644,0.7361290322580645,,6.699197431912684,-9,-6.54155383610652,0.15764359580616372
65,0.7407218809626566,0.7161290322580645,0.6961290322580644,0.7361290322580645,sell,7.435326464170749,-10,-7.407218809626565,0.028107654544183625
66,0.7555527316185222,0.725,0.705,0.745,sell,8.180326464170749,-11,-8.311080047803744,-0.13075358363299472
67,0.7468005935926273,0.7333333333333333,0.7133333333333333,0.7533333333333333,,8.180326464170749,-11,-8.214806529518901,-0.03448006534815207
68,0.7362135280597046,0.7333333333333333,0.7133333333333333,0.7533333333333333,,8.180326464170749,-11,-8.098348808656752,0.08197765551399705
69,0.7525623692818625,0.7333333333333333,0.7133333333333333,0.7533333333333333,,8.180326464170749,-11,-8.278186062100488,-0.0978595979297392
70,0.747108164320137,0.7333333333333333,0.7133333333333333,0.7533333333333333,,8.180326464170749,-11,-8.218189807521508,-0.03786334335075914
71,0.7202390296373717,0.7333333333333333,0.7133333333333333,0.7533333333333333,,8.180326464170749,-11,-7.922629326011089,0.25769713815966
72,0.6975613338754335,0.7333333333333333,0.7133333333333333,0.7533333333333333,buy,7.466993130837416,-10,-6.975613338754335,0.49137979208308113
73,0.6802942214616297,0.711764705882353,0.691764705882353,0.731764705882353,buy,6.775228424955063,-9,-6.122647993154667,0.6525804318003967
74,0.6922227252696235,0.6914285714285714,0.6714285714285714,0.7114285714285714,,6.775228424955063,-9,-6.230004527426611,0.5452238975284525
75,0.6964601037275536,0.6914285714285714,0.6714285714285714,0.7114285714285714,,6.775228424955063,-9,-6.268140933547983,0.5070874914070806
76,0.7114468056225313,0.6914285714285714,0.6714285714285714,0.7114285714285714,sell,7.486656996383635,-10,-7.114468056225313,0.37218894015832227
77,0.7033294124146741,0.7,0.6799999999999999,0.72,,7.486656996383635,-10,-7.033294124146741,0.45336287223689453
78,0.7073337356154746,0.7,0.6799999999999999,0.72,,7.486656996383635,-10,-7.073337356154746,0.413319640228889
79,0.7204788567140477,0.7,0.6799999999999999,0.72,sell,8.206656996383636,-11,-7.925267423854525,0.2813895725291111
80,0.7142679830839405,0.7081081081081081,0.6881081081081081,0.7281081081081081,,8.206656996383636,-11,-7.856947813923345,0.34970918246029115
81,0.7236900886808917,0.7081081081081081,0.6881081081081081,0.7281081081081081,,8.206656996383636,-11,-7.960590975489809,0.246066020893827
82,0.7102670654255141,0.7081081081081081,0.6881081081081081,0.7281081081081081,,8.206656996383636,-11,-7.812937719680655,0.39371927670298046
83,0.7034926352229369,0.7081081081081081,0.6881081081081081,0.7281081081081081,,8.206656996383636,-11,-7.738418987452306,0.46823800893132983
84,0.6966832455818235,0.7081081081081081,0.6881081081081081,0.7281081081081081,,8.206656996383636,-11,-7.663515701400058,0.5431412949835774
85,0.6739322903909515,0.7081081081081081,0.6881081081081081,0.7281081081081081,buy,7.518548888275528,-10,-6.739322903909515,0.779225984366013
86,0.6859751254871156,0.6894736842105263,0.6694736842105263,0.7094736842105264,,7.518548888275528,-10,-6.859751254871156,0.6587976334043715
87,0.6782883224087053,0.6894736842105263,0.6694736842105263,0.7094736842105264,,7.518548888275528,-10,-6.782883224087053,0.7356656641884749
88,0.6806237886628238,0.6894736842105263,0.6694736842105263,0.7094736842105264,,7.518548888275528,-10,-6.806237886628238,0.71231100164729
89,0.6922075324078008,0.6894736842105263,0.6694736842105263,0.7094736842105264,,7.518548888275528,-10,-6.9220753240780075,0.5964735641975203
90,0.7025277793080096,0.6894736842105263,0.6694736842105263,0.7094736842105264,,7.518548888275528,-10,-7.025277793080096,0.493271095195432
91,0.7167090925220648,0.6894736842105263,0.6694736842105263,0.7094736842105264,sell,8.228022572486054,-11,-7.883800017742713,0.3442225547433413
